,participant,trials,dphy,dper,block number,trial number,US,Per_size,US_expect,Total_trial_nr,stimulus,stimulus_phy,CStrials,CS_phy,Phy_size
0,1,1,0.0,0.0,3,1,0,60,9,11,CS+,S7,1.0,96.54,96.54
1,1,2,0.0,0.0,3,2,0,60,5,12,CS+,S7,1.0,96.54,96.54
2,1,3,0.0,0.0,3,3,1,60,2,13,CS+,S7,1.0,96.54,96.54
3,1,4,0.0,0.0,3,4,1,60,3,14,CS+,S7,1.0,96.54,96.54
4,1,5,0.0,0.0,3,5,0,60,9,15,CS+,S7,1.0,96.54,96.54
5,1,6,0.0,0.0,3,6,0,60,9,16,CS+,S7,1.0,96.54,96.54
6,1,7,0.0,0.0,3,7,1,60,3,17,CS+,S7,1.0,96.54,96.54
7,1,8,0.0,0.0,3,8,1,60,8,18,CS+,S7,1.0,96.54,96.54
8,1,9,0.0,0.0,3,10,0,60,10,20,CS+,S7,1.0,96.54,96.54
9,1,10,0.0,8.1,3,11,1,69,9,21,CS+,S7,1.0,96.54,96.54
10,1,11,0.0,8.27,3,12,1,70,2,22,CS+,S7,1.0,96.54,96.54
11,1,12,0.0,7.58,3,13,0,70,3,23,CS+,S7,1.0,96.54,96.54
12,1,13,0.0,7.0,3,14,1,70,3,24,CS+,S7,1.0,96.54,96.54
13,1,14,0.0,6.5,3,15,0,70,4,25,CS+,S7,1.0,96.54,96.54
14,1,15,22.87,13.5,4,1,0,50,8,26,S4,S4,0.0,96.54,73.67
15,1,16,15.25,30.5,4,2,0,94,7,27,S9,S9,0.0,96.54,111.79
16,1,17,15.24,11.5,4,3,0,52,7,28,S5,S5,0.0,96.54,81.3
17,1,18,22.88,41.5,4,4,0,105,8,29,S10,S10,0.0,96.54,119.42
18,1,19,22.88,36.5,4,5,0,100,9,30,S10,S10,0.0,96.54,119.42
19,1,20,7.63,8.5,4,6,0,72,5,31,S8,S8,0.0,96.54,104.17
20,1,21,0.0,4.2,4,8,0,59,8,33,CS+,S7,1.0,96.54,96.54
21,1,22,7.62,9.2,4,9,0,54,3,34,S6,S6,0.0,96.54,88.92
22,1,23,0.0,7.31,4,10,0,71,8,35,CS+,S7,1.0,96.54,96.54
23,1,24,7.63,26.31,4,11,0,90,2,36,S8,S8,0.0,96.54,104.17
24,1,25,0.0,3.47,4,12,1,60,3,37,CS+,S7,1.0,96.54,96.54
25,1,26,7.63,16.53,4,13,0,80,8,38,S8,S8,0.0,96.54,104.17
26,1,27,15.25,35.53,4,14,0,99,6,39,S9,S9,0.0,96.54,111.79
27,1,28,15.24,9.47,4,15,0,54,8,40,S5,S5,0.0,96.54,81.3
28,1,29,0.0,5.22,4,16,1,69,7,41,CS+,S7,1.0,96.54,96.54
29,1,30,15.25,27.22,4,17,0,91,6,42,S9,S9,0.0,96.54,111.79
30,1,31,15.24,14.78,4,18,0,49,5,43,S5,S5,0.0,96.54,81.3
31,1,32,0.0,18.21,4,19,0,83,6,44,CS+,S7,1.0,96.54,96.54
32,1,33,0.0,4.0,4,20,0,69,4,45,CS+,S7,1.0,96.54,96.54
33,1,34,15.25,27.0,4,21,0,92,9,46,S9,S9,0.0,96.54,111.79
34,1,35,0.0,14.29,4,22,1,80,5,47,CS+,S7,1.0,96.54,96.54
35,1,36,7.62,1.71,4,23,0,64,7,48,S6,S6,0.0,96.54,88.92
36,1,37,7.63,19.29,4,24,0,85,8,49,S8,S8,0.0,96.54,104.17
37,1,38,7.62,3.71,4,26,0,62,4,51,S6,S6,0.0,96.54,88.92
38,1,39,0.0,12.68,4,27,1,79,4,52,CS+,S7,1.0,96.54,96.54
39,1,40,15.24,10.32,4,28,0,56,4,53,S5,S5,0.0,96.54,81.3
40,1,41,0.0,16.91,4,29,1,84,5,54,CS+,S7,1.0,96.54,96.54
41,1,42,0.0,11.42,4,30,0,79,2,55,CS+,S7,1.0,96.54,96.54
42,1,43,22.87,15.58,4,31,0,52,9,56,S4,S4,0.0,96.54,73.67
43,1,44,7.62,13.42,4,32,0,81,8,57,S6,S6,0.0,96.54,88.92
44,1,45,0.0,8.08,4,33,0,76,7,58,CS+,S7,1.0,96.54,96.54
45,1,46,22.87,17.92,4,34,0,50,6,59,S4,S4,0.0,96.54,73.67
46,1,47,22.88,30.08,4,35,0,98,5,60,S10,S10,0.0,96.54,119.42
47,1,48,0.0,13.54,4,36,1,82,7,61,CS+,S7,1.0,96.54,96.54
48,1,49,22.87,19.46,4,37,0,49,4,62,S4,S4,0.0,96.54,73.67
49,1,50,22.88,30.54,4,38,0,99,4,63,S10,S10,0.0,96.54,119.42
50,1,51,0.0,8.22,5,1,0,77,8,64,CS+,S7,1.0,96.54,96.54
51,1,52,0.0,10.82,5,2,0,80,4,65,CS+,S7,1.0,96.54,96.54
52,1,53,0.0,9.48,5,3,0,79,8,66,CS+,S7,1.0,96.54,96.54
53,1,54,0.0,9.17,5,4,0,79,7,67,CS+,S7,1.0,96.54,96.54
54,1,55,0.0,10.81,5,5,1,81,4,68,CS+,S7,1.0,96.54,96.54
55,1,56,0.0,9.5,5,6,1,80,8,69,CS+,S7,1.0,96.54,96.54
56,1,57,0.0,7.27,5,7,1,78,4,70,CS+,S7,1.0,96.54,96.54
57,1,58,0.0,9.97,5,8,0,81,3,71,CS+,S7,1.0,96.54,96.54
58,1,59,0.0,7.74,5,9,1,79,3,72,CS+,S7,1.0,96.54,96.54
59,1,60,0.0,8.5,5,10,1,80,4,73,CS+,S7,1.0,96.54,96.54
60,1,61,0.0,8.27,6,1,1,80,6,74,CS+,S7,1.0,96.54,96.54
61,1,62,0.0,10.97,6,2,0,83,6,75,CS+,S7,1.0,96.54,96.54
62,1,63,7.63,7.97,6,3,0,80,4,76,S8,S8,0.0,96.54,104.17
63,1,64,0.0,8.74,6,4,1,81,3,77,CS+,S7,1.0,96.54,96.54
64,1,65,7.62,7.74,6,5,0,80,8,78,S6,S6,0.0,96.54,88.92
65,1,66,7.62,8.74,6,6,0,81,7,79,S6,S6,0.0,96.54,88.92
66,1,67,0.0,6.58,6,7,0,79,4,80,CS+,S7,1.0,96.54,96.54
67,1,68,7.62,2.42,6,8,0,70,4,81,S6,S6,0.0,96.54,88.92
68,1,69,0.0,12.12,6,9,1,60,4,82,CS+,S7,1.0,96.54,96.54
69,1,70,15.24,12.12,6,10,0,60,6,83,S5,S5,0.0,96.54,81.3
70,1,71,7.62,5.88,6,11,0,78,4,84,S6,S6,0.0,96.54,88.92
71,1,72,0.0,6.71,6,13,0,79,5,86,CS+,S7,1.0,96.54,96.54
72,1,73,0.0,2.23,6,14,1,70,6,87,CS+,S7,1.0,96.54,96.54
73,1,74,22.88,10.77,6,15,0,83,4,88,S10,S10,0.0,96.54,119.42
74,1,75,0.0,3.16,6,16,0,69,4,89,CS+,S7,1.0,96.54,96.54
75,1,76,15.24,19.16,6,17,0,53,8,90,S5,S5,0.0,96.54,81.3
76,1,77,22.87,18.16,6,18,0,54,3,91,S4,S4,0.0,96.54,73.67
77,1,78,15.24,7.16,6,19,0,65,4,92,S5,S5,0.0,96.54,81.3
78,1,79,22.88,23.84,6,20,0,96,5,93,S10,S10,0.0,96.54,119.42
79,1,80,22.88,21.84,6,21,0,94,4,94,S10,S10,0.0,96.54,119.42
