,participant,trials,d_phy_m,d_phy_p,d_per_m,d_per_p,block number,trial number,US,Per_size,US_expect,Total_trial_nr,group,stimulus,stimulus_phy,CSptrials,CSmtrials,USp,USm,CS_phy_p,CS_phy_m,Phy_size
0,1,1,0.0,68.62,0.0,30.0,3,1,0,60,3,11,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
1,1,2,0.0,68.62,5.0,40.0,3,2,0,70,3,12,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
2,1,3,68.62,0.0,35.0,0.0,3,3,1,30,4,13,1,CS+,S1,1.0,0.0,1.0,0.0,50.8,119.42,50.8
3,1,4,68.62,0.0,30.0,2.5,3,4,1,35,3,14,1,CS+,S1,1.0,0.0,1.0,0.0,50.8,119.42,50.8
4,1,5,0.0,68.62,3.33,37.5,3,5,0,70,6,15,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
5,1,6,0.0,68.62,5.5,41.5,3,6,0,74,5,16,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
6,1,7,0.0,68.62,6.8,44.5,3,8,0,77,6,18,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
7,1,8,0.0,68.62,0.67,38.5,3,9,0,71,3,19,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
8,1,9,68.62,0.0,36.33,1.0,3,10,1,34,7,20,1,CS+,S1,1.0,0.0,1.0,0.0,50.8,119.42,50.8
9,1,10,0.0,68.62,3.14,41.0,3,11,0,74,3,21,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
10,1,11,0.0,68.62,1.88,40.0,3,12,0,73,3,22,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
11,1,12,68.62,0.0,41.12,2.25,3,13,1,30,7,23,1,CS+,S1,1.0,0.0,1.0,0.0,50.8,119.42,50.8
12,1,13,0.0,68.62,2.56,41.75,3,14,0,74,3,24,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
13,1,14,0.0,68.62,0.4,38.75,3,15,0,71,3,25,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
14,1,15,68.62,0.0,38.4,0.6,3,16,0,33,7,26,1,CS+,S1,1.0,0.0,0.0,0.0,50.8,119.42,50.8
15,1,16,68.62,0.0,40.4,1.17,3,17,1,31,7,27,1,CS+,S1,1.0,0.0,1.0,0.0,50.8,119.42,50.8
16,1,17,68.62,0.0,41.4,1.86,3,18,1,30,7,28,1,CS+,S1,1.0,0.0,1.0,0.0,50.8,119.42,50.8
17,1,18,0.0,68.62,3.27,43.14,3,19,0,75,3,29,1,CS-,S10,0.0,1.0,0.0,-1.0,50.8,119.42,119.42
18,1,19,68.62,0.0,38.73,1.0,3,20,1,33,7,30,1,CS+,S1,1.0,0.0,1.0,0.0,50.8,119.42,50.8
19,1,20,68.62,0.0,30.73,8.0,3,21,1,41,5,31,1,CS+,S1,1.0,0.0,1.0,0.0,50.8,119.42,50.8
